factors,
job_id,17880
title,11231
location,3106
department,1338
salary_range,875
company_profile,1710
description,14800
requirements,11960
benefits,6201
telecommuting,2
has_company_logo,2
has_questions,2
employment_type,6
required_experience,8
required_education,14
industry,132
function,38
fraudulent,2
