"","set","accuracy","sensitivity","specificity","precision","recall","F1-score","balanced_accuaracy"
"1","unbalanced_data",0.9516,0,1,NA,0,NA,0.5
"2","balanced_data",0.5294,0,1,NA,0,NA,0.5
